50
CU_B001|Raman Singh|101|15|1|2024|15|4|2024|15500.00|8000.00|10000.00|90|5|2|-1500.00|65|120.00|4.20
CU_B002|Arjun Mehta|102|10|2|2024|10|5|2024|8800.00|5000.00|9000.00|90|4|0|700.00|88|95.00|3.80
CU_B003|Mohit Verma|103|5|3|2024|5|6|2024|11850.00|7000.00|12000.00|90|6|1|150.00|92|110.00|4.10
CU_B004|Suresh Kumar|104|20|4|2024|20|7|2024|5300.00|3000.00|8000.00|60|3|0|2700.00|96|60.00|3.50
CU_B005|Harpret Singh|105|28|5|2024|28|8|2024|21500.00|15000.00|12000.00|90|7|2|-4500.00|55|160.00|3.90
CU_B006|Raj Malhotra|106|18|6|2024|18|9|2024|10400.00|5000.00|10000.00|100|3|2|-400.00|78|88.00|4.50
CU_B007|Karan Sharma|107|9|7|2024|9|10|2024|11900.00|9000.00|11000.00|90|4|2|-900.00|80|130.00|3.70
CU_B008|Varun Gupta|108|25|8|2024|25|11|2024|6600.00|2000.00|9000.00|95|1|0|2400.00|98|75.00|4.00
CU_B009|Naveen Joshi|109|12|9|2024|12|12|2024|9900.00|9000.00|11000.00|90|5|0|1000.00|90|140.00|3.60
CU_B010|Ritesh Yadav|110|30|10|2024|30|1|2025|6400.00|1000.00|6000.00|60|2|2|-400.00|70|50.00|5.00
CU_B011|Sanjay Patel|111|3|11|2024|3|2|2025|10050.00|7000.00|9000.00|80|4|2|-1050.00|76|110.00|3.40
CU_B012|Deepak Thakur|112|17|12|2024|17|3|2025|23500.00|18000.00|13000.00|90|8|2|-4500.00|60|170.00|3.30
CU_B013|Rohit Saini|113|22|1|2025|22|4|2025|5900.00|2000.00|7000.00|60|3|0|1100.00|94|55.00|4.60
CU_B014|Kabir Arora|114|11|2|2025|11|5|2025|9800.00|6000.00|10000.00|85|4|0|200.00|90|100.00|3.90
CU_B015|Jatin Bansal|115|6|3|2025|6|6|2025|18250.00|12000.00|15000.00|120|6|2|-3250.00|68|145.00|4.10
CU_B016|Ishaan Gill|116|14|4|2025|14|7|2025|8500.00|4000.00|9000.00|75|3|0|500.00|89|85.00|4.30
CU_B017|Gautam Rao|117|8|5|2025|8|8|2025|14150.00|11000.00|13000.00|100|7|2|-1150.00|74|130.00|3.90
CU_B018|Sahil Nanda|118|29|5|2025|29|8|2025|7200.00|3000.00|9000.00|90|2|0|1800.00|97|70.00|4.10
CU_B019|Tarun Singh|119|10|6|2025|10|9|2025|14650.00|8500.00|11000.00|90|5|2|-3650.00|72|135.00|3.70
CU_B020|Vinay Chauhan|120|4|7|2025|4|10|2025|4200.00|1000.00|6000.00|60|2|0|1800.00|96|48.00|4.90
CU_B021|Yuvraj Reddy|121|16|7|2025|16|10|2025|12850.00|7000.00|10000.00|85|4|2|-2850.00|79|118.00|3.60
CU_B022|Pranav Desai|122|19|8|2025|19|11|2025|12400.00|9000.00|12000.00|80|5|2|-400.00|83|142.00|3.80
CU_B023|Aditya Jain|123|21|9|2025|21|12|2025|5200.00|2000.00|8000.00|60|3|0|2800.00|93|63.00|4.40
CU_B024|Pawan Tiwari|124|13|10|2025|13|1|2026|10300.00|6000.00|10000.00|85|4|0|700.00|88|102.00|3.70
CU_B025|Anmol Grover|125|23|10|2025|23|1|2026|17250.00|12000.00|15000.00|120|6|2|-2250.00|71|148.00|4.00
CU_B026|Danish Ali|126|7|11|2025|7|2|2026|8900.00|5000.00|10000.00|90|3|0|1100.00|90|89.00|4.20
CU_B027|Keshav Agarwal|127|12|12|2025|12|3|2026|8300.00|3000.00|9000.00|70|2|0|700.00|92|74.00|4.00
CU_B028|Veer Khanna|128|5|1|2026|5|4|2026|13950.00|8500.00|11000.00|80|5|2|-2950.00|76|128.00|3.60
CU_B029|Milan Kapoor|129|30|1|2026|30|4|2026|5600.00|2000.00|9000.00|75|2|0|3400.00|95|72.00|4.30
CU_B030|Param Singh|130|17|2|2026|17|5|2026|10150.00|7000.00|10000.00|90|4|2|-150.00|84|115.00|3.80
CU_B031|Jay Shah|131|19|2|2026|19|5|2026|15900.00|11000.00|13000.00|100|6|2|-2900.00|69|137.00|3.90
CU_B032|Naman Dixit|132|28|2|2026|28|5|2026|3950.00|1000.00|6000.00|60|2|0|2050.00|97|49.00|4.80
CU_B033|Arnav Sood|133|9|3|2026|9|6|2026|8700.00|7000.00|9000.00|80|3|1|300.00|89|108.00|3.50
CU_B034|Hardik Vora|134|14|3|2026|14|6|2026|10450.00|6000.00|10000.00|85|4|2|-450.00|82|101.00|3.90
CU_B035|Shaurya Jain|135|24|3|2026|24|6|2026|19600.00|14000.00|15000.00|120|7|2|-4600.00|66|152.00|4.10
CU_B036|Kunal Singh|136|6|4|2026|6|7|2026|9100.00|4000.00|9000.00|90|3|2|-100.00|86|82.00|4.20
CU_B037|Aman Verma|137|11|4|2026|11|7|2026|11500.00|8000.00|11000.00|90|4|2|-500.00|79|120.00|3.80
CU_B038|Ankit Rao|138|3|5|2026|3|8|2026|7500.00|2500.00|9000.00|90|2|0|1500.00|94|78.00|4.10
CU_B039|Samar Iyer|139|21|5|2026|21|8|2026|14200.00|9000.00|11000.00|90|5|2|-3200.00|71|133.00|3.70
CU_B040|Keshav Menon|140|29|5|2026|29|8|2026|4550.00|1000.00|6000.00|60|2|0|1450.00|96|52.00|4.60
CU_B041|Aayush Singh|141|8|6|2026|8|9|2026|12120.00|7000.00|9000.00|80|4|2|-3120.00|73|112.00|3.50
CU_B042|Divyam Kaur|142|18|6|2026|18|9|2026|10200.00|6000.00|10000.00|85|3|0|800.00|87|104.00|3.90
CU_B043|Harsh Nanda|143|2|7|2026|2|10|2026|17550.00|12000.00|15000.00|120|6|2|-2550.00|70|150.00|4.00
CU_B044|Ayush Pillai|144|25|7|2026|25|10|2026|9550.00|5000.00|10000.00|90|3|0|450.00|90|90.00|4.30
CU_B045|Rohan Menon|145|14|8|2026|14|11|2026|8400.00|4000.00|9000.00|90|3|0|600.00|89|84.00|4.10
CU_B046|Tanish Roy|146|7|9|2026|7|12|2026|7200.00|2000.00|9000.00|90|2|0|1800.00|93|76.00|4.20
CU_B047|Aarav Khan|147|20|9|2026|20|12|2026|13200.00|8500.00|11000.00|90|4|2|-2200.00|75|126.00|3.60
CU_B048|Zayan Sheikh|148|27|9|2026|27|12|2026|3650.00|1000.00|6000.00|60|2|0|2350.00|97|50.00|4.70
